Group;  in;  out; indef; in/out;  in-out/in+out; hub_ranks; auth_ranks
Control; 4402; 3888; 2; 1.1322; 0.062002; 0.0022064; 0.002204
Control; 5558; 5291; 10; 1.0505; 0.024611; 0.0022185; 0.0022246
Control; 7765; 6976; 7; 1.1131; 0.053524; 0.0022192; 0.0022161
Control; 6033; 5893; 10; 1.0238; 0.011739; 0.0022043; 0.0022205
Control; 2847; 2625; 2; 1.0846; 0.04057; 0.0021821; 0.0021749
Control; 5439; 5282; 7; 1.0297; 0.014644; 0.0022154; 0.0022257
Control; 6283; 6418; 14; 0.97897; -0.010629; 0.0022157; 0.0022207
Control; 6347; 6282; 7; 1.0103; 0.0051469; 0.0022183; 0.002227
Control; 6130; 6296; 12; 0.97363; -0.013359; 0.002215; 0.0022124
Control; 6752; 6459; 8; 1.0454; 0.022178; 0.0022203; 0.0022213
Control; 3459; 3542; 3; 0.97657; -0.011855; 0.0021824; 0.0021983
Control; 7013; 6771; 12; 1.0357; 0.017557; 0.0022173; 0.0022252
Control; 6570; 6580; 8; 0.99848; -0.00076046; 0.0022187; 0.0022222
Control; 5861; 5240; 6; 1.1185; 0.055941; 0.0022118; 0.0022236
Control; 6881; 7147; 12; 0.96278; -0.018962; 0.0022229; 0.0022228
Control; 4564; 4413; 3; 1.0342; 0.016821; 0.0022; 0.0022
Control; 6588; 6309; 6; 1.0442; 0.021633; 0.0022127; 0.0022217
Control; 6359; 6236; 14; 1.0197; 0.0097658; 0.0022105; 0.0022184
Control; 5674; 5821; 11; 0.97475; -0.012788; 0.0022146; 0.0022168
Control; 5427; 5314; 5; 1.0213; 0.01052; 0.0022125; 0.0022172
Control; 3705; 3717; 6; 0.99677; -0.0016168; 0.0022046; 0.0022161
Control; 7002; 6821; 12; 1.0265; 0.013094; 0.0022187; 0.0022156
Control; 5228; 4795; 10; 1.0903; 0.043201; 0.0022052; 0.0022247
Control; 3879; 3372; 1; 1.1504; 0.069921; 0.0021838; 0.0022017
Control; 3607; 3540; 8; 1.0189; 0.0093746; 0.0021762; 0.0022173
Control; 5968; 6090; 9; 0.97997; -0.010118; 0.0022125; 0.0022203
Control; 2751; 2489; 4; 1.1053; 0.05; 0.0021208; 0.0021843
Control; 7854; 7035; 10; 1.1164; 0.055007; 0.0022178; 0.0022299
Control; 4168; 3198; 4; 1.3033; 0.13169; 0.0021944; 0.0022163
Control; 5340; 4406; 3; 1.212; 0.095834; 0.002202; 0.0022069
Control; 5593; 5936; 10; 0.94222; -0.029751; 0.0022112; 0.0022217
Control; 5385; 6029; 12; 0.89318; -0.056422; 0.0022144; 0.0022085
Control; 4217; 3881; 5; 1.0866; 0.041492; 0.0022161; 0.0022006
Control; 5104; 5515; 9; 0.92548; -0.038704; 0.0022111; 0.0022144
Control; 5528; 6017; 10; 0.91873; -0.042356; 0.0022169; 0.002223
Control; 3962; 3603; 4; 1.0996; 0.047455; 0.0021879; 0.0022003
Control; 5794; 4642; 8; 1.2482; 0.11039; 0.0021947; 0.002215
Control; 5508; 4366; 7; 1.2616; 0.11566; 0.0022018; 0.0022151
Control; 3867; 4846; 7; 0.79798; -0.11236; 0.0022062; 0.0021847
Control; 5411; 5877; 8; 0.92071; -0.041283; 0.0022103; 0.0022265
